parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.junit.internal.matchers,23,48,0,48,0.3070652173913043,0.6141304347826086,0.7916666666666666,0.5217391304347826,0.2536625708884688
org.junit.runners.model,68,872,0,872,0.22586683756071235,0.4517336751214247,0.9000226461201403,0.7205882352941176,0.29296994622931855
org.junit,990,986,0,986,0.09513901694429078,0.19027803388858155,0.9880561361600477,0.498989898989899,0.09381278505684926
org.junit.rules,133,217,3,214,0.07446034440941063,0.14892068881882126,0.8902543096091483,0.45112781954887216,0.05980930150868505
org.junit.validator,12,409,366,43,0.10920945395273024,0.21841890790546048,0.21466752960352842,0.75,0.03516558553407434
org.junit.runners,170,872,0,872,0.24557474365893145,0.4911494873178629,0.9038593201950726,0.5470588235294118,0.24285584635340726
junit.framework,54,182,8,174,0.10897435897435898,0.21794871794871795,0.9667901159613866,0.5925925925925926,0.12486558002920092
org.junit.runner,311,986,0,986,0.2088434220567038,0.4176868441134076,0.9562978140669887,0.6077170418006431,0.2427422508750677
org.junit.internal.builders,26,415,2,413,0.6667284522706209,0.6665430954587581,0.7897444851871254,0.5,0.26319936688905493
org.junit.internal.runners,100,869,0,869,0.05642117376294591,0.11284234752589184,0.8376835496067836,0.39,0.03686520950636602
org.junit.internal,223,883,0,883,0.0866796337394431,0.1733592674788862,0.9648025310539466,0.4439461883408072,0.07425331185867026
org.junit.experimental.theories.internal,46,89,0,89,0.3470933072789448,0.6941866145578895,0.9231358529111338,0.5652173913043478,0.3622074427226986
org.junit.matchers,11,43,43,0,0.09090909090909091,0.18181818181818188,0.0,0.18181818181818182,0.0
org.junit.runner.manipulation,13,85,12,73,0.20452488687782805,0.4090497737556561,0.6859943977591036,0.8461538461538461,0.23743572193931523
org.junit.experimental.max,27,17,0,17,0.6470588235294118,0.7058823529411764,0.8970588235294118,0.2962962962962963,0.1876201460976547
org.junit.experimental.results,20,97,1,96,0.3804123711340206,0.7608247422680412,0.7429123711340206,0.65,0.36739697364225743
org.junit.internal.runners.rules,16,146,0,146,0.3129280821917808,0.6258561643835616,0.450543221539915,0.3125,0.08811726641312015
org.junit.experimental.theories,92,113,0,113,0.35340515582916504,0.7068103116583301,0.9742414664981036,0.5543478260869565,0.38172608307462663
org.junit.internal.requests,12,188,0,188,0.6285460992907801,0.7429078014184398,0.7498008874729776,0.4166666666666667,0.23209705367256034
org.junit.experimental.categories,49,49,1,48,0.2857142857142857,0.5714285714285714,0.8801020408163265,0.46938775510204084,0.23606235497114297
junit.samples.money,32,23,0,23,0.4904891304347826,0.9809782608695652,0.9802371541501976,0.625,0.6009945866987455
junit.textui,6,9,0,9,0.7037037037037037,0.5925925925925926,0.38888888888888884,0.5,0.11522633744855965
org.junit.internal.runners.statements,30,827,428,399,0.06912535268037082,0.13825070536074158,0.6842872660305489,0.6,0.05676191831885808
junit.runner,314,986,0,986,0.20687717212955906,0.41375434425911806,0.9562978140669887,0.6019108280254777,0.23815948684843985
org.junit.experimental.runners,2,6,0,6,1.0,0.0,0.0,0.5,0.0
org.junit.internal.management,13,2,0,2,0.4230769230769231,0.8461538461538461,1.0,0.23076923076923078,0.1952662721893491
org.junit.runner.notification,28,986,0,986,0.3618878585917126,0.7237757171834251,0.6274214639470351,0.75,0.3405843150334049
org.junit.runners.parameterized,12,24,0,24,0.6076388888888888,0.7847222222222223,0.605072463768116,0.4166666666666667,0.19783908682232962
org.junit.experimental,199,238,2,236,0.1145010768126346,0.2290021536252692,0.9821295606850335,0.4824120603015075,0.10849919253993755
org.junit.internal.runners.model,3,864,0,864,0.6720679012345679,0.6558641975308641,0.03191923093429472,0.6666666666666666,0.013956453855015693
